Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R11,10k,1005_C,118.55,-66.65,-90,top
R12,10k,1005_C,118.55,-64.3,-90,top
R13,10k,1005_C,125.45,-55.4,90,top
R14,10k,1005_C,125.45,-57,90,top
R15,10k,1005_C,118.55,-87.9,-90,top
R16,10k,1005_C,118.55,-85.75,-90,top
R17,10k,1005_C,125.45,-74.7,90,top
R18,10k,1005_C,125.45,-76.85,90,top
R19,1k,1005_C,118.15,-59.15,0,top
R20,1k,1005_C,125.85,-61.65,180,top
R21,1k,1005_C,118.15,-80.5,0,top
R22,1k,1005_C,125.85,-81.95,180,top
R23,1k,1005_C,113.75,-99.5,-90,top
R24,0,1005_C,118.15,-60.2,0,top
R25,0,1005_C,125.85,-60.55,180,top
R26,0,1005_C,118.15,-81.6,0,top
R27,0,1005_C,125.85,-80.9,180,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,132.05,-97.9,-90,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,140.85,-97.85,-90,top
U3,XC6206P332MR,SOT-23,117.8,-102.5,180,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,123,-95.7,-90,top
